commit_hash,prob,prediction_label,true_label,cluster
c3768b0fba8f2f565118c611f4ced4bd6143d022,0.493212,0,1,1
16d64a96a0a07468bb8b2d3293d374bd4373cd70,0.1851517,0,0,1
1f0919e28420fbd1568ea1c1fd4cf7b46eca9b04,0.19943239,0,0,1
4e347adfdb1a84535440d6c9f392d134a84969fd,0.20075521,0,0,1
9818f5ce6f76224f0d5d5c8ad583d854b8cc6872,0.24787845,0,0,1
dca231dd1b2629f45e65cf46b6f91803fb448aa2,0.2820534,0,0,1
9930786b2d05890fd071332dd1b9d7d7ad0e1b3d,0.12907407,0,0,1
b367c37c2e92ae652e49b361425bdc7ab3390f25,0.18016295,0,0,1
bbd32a63be1334620c1f52bcf4494de4b1e6931c,0.2871911,0,0,1
6868968abdfb03229bb0dd60e57a502db45394bc,0.18491569,0,0,1
3fcfac543d8e54b93695ea5f32b1820c5e5849dd,0.23905249,0,0,1
af50960c662e2d006dccd4156ca85ba3b2d3d5b9,0.17569728,0,0,1
99d1ccf360643d89b88bdd218fa917d365d95cde,0.2693128,0,0,1
3c32e5384eec3142bb017fde824dd1cc0db48876,0.08594345,0,0,1
b4621118821f29afd3d5ea47eb8a684f4e5ed3ee,0.13088207,0,0,1
eb3f760c1c38fe3910d979e75093da67f685e2f5,0.1385653,0,0,1
efb03bdc301d917b746e6716f2a074f54ded723b,0.2173128,0,0,1
3ff71911718c07ca1016ca855aece547061db85e,0.17531268,0,0,1
01f84f2b0d9c13ac82ad471469b6a5692d0f8cbb,0.26343888,0,0,1
a95c1598ef693cbd7d874c33eae82433693b75d4,0.16235676,0,0,1
6fb796db3d138b4e97dc1fceadf6bfdad74a3533,0.24971697,0,0,1
cae430631d5472394441cc82e142103c3a70dc83,0.23148963,0,0,1
47b76cc60f7b73188cbb47a0879aabfa0228be31,0.3085098,0,0,1
c64d12958fc711d667f26d0173bbaf96157d629a,0.25506774,0,0,1
643590426ee7255ee5e1e661b9e2ac8a9052dbed,0.23709325,0,0,1
31ad1256c66f47e58b7ef40955953e4a1c6bdbf0,0.20214756,0,0,1
3c984c22552eda0fb5b200efb3f239213a4a04ca,0.10160555,0,0,1
95db7d0aab9bea25d3a14db42a7787ef77861f45,0.3961998,0,0,1
40f0cea10371f88cf29e634bedb1ee7736ec14e5,0.1899384,0,0,1
