commit_hash,prob,prediction_label,true_label,cluster
6e710a1f78a4a733020a4b2d1f07b6fe4c6684f0,0.51865005,1,1,0
951b253fc38c09114d0fe273a3758a15c151a8b4,0.612769,1,1,0
f3539c7eb312b127122084279002d3fd238c9a17,0.33425307,0,1,0
7aa5ba380ef6aea0f2f594873b4c7378adab0f18,0.60184574,1,1,0
def1380280b9be6d166d3938ea4b0254e9b55dc9,0.6196743,1,1,0
cc06ae9bf7a1fb6cee46c40d2a6388ac05d3f5d1,0.5070516,1,1,0
7972f1ac1b85a5174c9f293ad98abc87edfe42e6,0.39791492,0,1,0
bd1c4ff86fa21358949e925274f5b8146f5d02cd,0.35158712,0,1,0
be2aa80bc371d600ab2230c545051ea6454577f5,0.62559414,1,1,0
68b033741b02c3ae54d649e858790732bc5c2d27,0.40665016,0,1,0
4f5d25205a9cec988de300a452d641a155406b79,0.35986966,0,1,0
d1e97bc85338c563f4f732bcf917a08b3cbf4792,0.5578542,1,1,0
d40c01673e866c3c3b5b51bce66e9518924cc31c,0.45025128,0,1,0
5f7d5690a97b2ad95bbe381695638f0c7ca2c4ff,0.2830514,0,1,0
8d340a008767c5d954b7539e825b4c90eb15ab9b,0.52553517,1,1,0
84e490b66f61e11366b62efc42e64b60ae7db35b,0.4982071,0,1,0
fc939bf6838f4bf986e0b42fddee3df6712371a5,0.27113885,0,1,0
5c798eb50aec6040f415b6def1912d4345f8310d,0.37695178,0,1,0
d1758567765117cd395ea47319d3acde7fc663b1,0.5202644,1,1,0
517b8beb06f63301629f0ec3f58f6b667061d3fd,0.5369773,1,1,0
5c715cd84d600c0df0215846efaece2ab4673546,0.3837128,0,1,0
dff4cea14174548f52d6fcc66c9bfd7a339b7336,0.5194943,1,1,0
02ae34d1d3f3c9f9c25160cb14c119958f25af13,0.19980519,0,1,0
8e0e1c32ff1ed1da4f09fc9917812e6457e6fef7,0.5875281,1,1,0
18c5b2536c114c86b810bb3ee94474fec596a462,0.17424227,0,0,0
c6e4d8c9f534d3e70e79bf718e40724d56186109,0.51746297,1,0,0
5b5ecff53b50a67179f6245bf60047c59f027e26,0.34686148,0,0,0
46dcd98ceb70720f96d4cfa23b001ff108bdaebe,0.23861653,0,0,0
dcbfc80c4a14b91194fc8b74760b079cc0a4ce42,0.249554,0,0,0
23492711d234f2fa647bac46997e361bcf985423,0.51842254,1,0,0
f10279a29d47d389a31da907695673a992555adc,0.5665797,1,0,0
8d5925b52b48b4c69934ea5c48aa298a2ec74e84,0.3355263,0,0,0
a30aafa016409048747fe9730d6f7892eb12d7c5,0.39848727,0,0,0
a3611513fc4de7234ef49ae46d646b0795ac7110,0.3046521,0,0,0
d0eb1d1dd1d9aed27c433d78a76962340fcbfc1d,0.38878876,0,0,0
1ae9dfaf45e0a51ee7d604551f7e1932d1787975,0.2959744,0,0,0
1c2d56e8a91b0f64317a9e02cfd4b45b03d3019d,0.25136754,0,0,0
2cd92aa6e3f44df6b0552a28b83022a7f92f8946,0.30238226,0,0,0
79ad715f02e02af76da0c6e47c164a80768a01ab,0.26453492,0,0,0
e5b948a1687270192753993c998d61c7a91faf49,0.26359442,0,0,0
b81a48d78dd9be1c3eae57cece4c88df92c30247,0.2774781,0,0,0
0b873b95a840f8cfdb51f4ceea3b524d46d20715,0.18337572,0,0,0
e350a38760c93e373562d6a3e906df5904250146,0.5999544,1,0,0
660431cf4f7e2bda887a0e35ad3a76bdccc14110,0.2901557,0,0,0
f65e9aa63f8f266023a986507834585a9580c555,0.13173221,0,0,0
535cbcd9f20b29b3c5a5d69f654cde57969b3788,0.12736231,0,0,0
2d650f890ff1409f2944bc56cdc4b518b35e06f5,0.13029708,0,0,0
1c4f7bde1c8f7d8c0e09484daa626fa4f40e38e6,0.13051355,0,0,0
b9a22fb6f6f460287993d3cf087ae5ff036a6c21,0.21074566,0,0,0
14d6a09601b68f60e6b18142b597a6890e5d581b,0.11933222,0,0,0
54fdc54dd24c9ece2bfc32ca12e88545ec923a96,0.14318961,0,0,0
0ff7c091143e8326eb88dabce078ca76778a587b,0.28643572,0,0,0
32ed6601f216dd1300876719cce837bfa9824e26,0.21714023,0,0,0
7df11e15457e8d8bf4e5730d20ec2412c429e091,0.47722194,0,0,0
15f7f84678a24533e42f2fde230c5f68d1b33035,0.33088192,0,0,0
2499f70cabfc8d17f2c6de124a81fc0940a70fa9,0.42356908,0,0,0
6526a5e83c1fb9644da34e44fdc5a3bb8a357c84,0.47468594,0,0,0
5904d90ade8663f5552b51036740352a9b796892,0.07940228,0,0,0
fdb75911387f77912c37dcee0af4a2f2e0977f3c,0.12943304,0,0,0
538a97b115ba4ea44c57898ac7c4fbb77fe0e9b7,0.30191824,0,0,0
fa0478f4f6fb724233dc3e00a9f8dc557ce7cdbf,0.38709226,0,0,0
ec81d7ca5100fd97fe8428db02a2cdde967ac87d,0.45818707,0,0,0
81c40b9820625d3f529b116baf6b4a3d45dd2f75,0.27222884,0,0,0
2b085ae34295d5ae1d7eaea5a55a2df220bf1bed,0.13058984,0,0,0
d6a354e203e4901d3eb6a36b3aba620fdb222da7,0.14871037,0,0,0
37787b96ab21fc226ff267aa26ae58a58b2d20f8,0.11027352,0,0,0
f2f704eabee027175b0c1eaf934c08e7721a9b24,0.3332698,0,0,0
e1fc87d2d57c2d7ee941e651f33b582fb000dd73,0.1440478,0,0,0
fa8f024d082998c7ae48b21f3eb6f8f2ca56a719,0.1582826,0,0,0
6bce493e47fdac9e64a9ae1cb3c358f31975a43a,0.4452125,0,0,0
9daac904cbc627e4a43e72f72159c552b25caf74,0.257527,0,0,0
658d5a97c708a926b0425585f9437a0c1fc2b81c,0.4551006,0,0,0
db695fe90b181948f271e4970ec83d4de9348577,0.47817343,0,0,0
9c06ff87decab7357d44d8766f6a277ff887d921,0.37329388,0,0,0
198d448ceab2bc061d18a1a689056bd2b96b76c5,0.06444052,0,0,0
46b15af8c5fbfb026be350ae16eca89fcdc87aac,0.07698592,0,0,0
b7e86cdd772cc47a031d187b79d075af8155c2e0,0.31562364,0,0,0
198e589e62f687a91d4c27057ebad918e9f9bf3f,0.43055764,0,0,0
fa510146c09a498e25e590ef5cc558074337fc4f,0.29873896,0,0,0
badca06dd1c70207215c7186a31955901b637661,0.36085182,0,0,0
91ac1574aae31a29baf883d2cf45e4e1f5aa9bbf,0.48910245,0,0,0
82ca28e2ec8fe9771f01b5aab3386311ecab80df,0.19701956,0,0,0
9f8120beb6b351608652002e057f97f8f6c0dfc3,0.58643675,1,0,0
c66b23747627a2b432e0068561d457cab9f97ead,0.18900827,0,0,0
a6a5e3033d424468cbd3a6af051aabf3b5bd4d00,0.5281656,1,0,0
2902a9a3c07e881dd7aeae0a55189facfab1966c,0.16840172,0,0,0
fe487b3336f8279d8b74eff05c5ebfe6e01281f0,0.24763577,0,0,0
3076802a78f14eb1b4f23831d5a1ccec79b26554,0.2982445,0,0,0
5063d256221e7fe8a8c433401bea988d7ccb0a35,0.46179706,0,0,0
a6b9ca3f71d44dbe2562e13d63e4b30fcaccdf50,0.2910677,0,0,0
81fec3193ad12a0f78eb021c4a1548484595860b,0.44549942,0,0,0
902a680951f318488a4bbe0184a3a223c5709b01,0.41457146,0,0,0
b84f786db6d85cbf9973adfccdf135cb71824b87,0.3972678,0,0,0
a2b5c7a9aa0b5f617502bf6003d43913d507a11f,0.48963574,0,0,0
571725cb7bcf091b5457f1e2a857aa51e8a70f7e,0.12943873,0,0,0
10118c9c1b00d31868d6ab43e8171e3c16efdcfc,0.31318223,0,0,0
ee94e6d82370b6b6086cae2693dc2fe31388fb64,0.4169624,0,0,0
dc58a824466ed492fc6d5ab11960eb86584eff26,0.43028182,0,0,0
56c04300e8f05bdaccc2ec60fc751c09d86b7b68,0.3770641,0,0,0
03542311e2a461f0324ec700e98e78b5540bcff8,0.06961289,0,0,0
4746531428aaf9e3ae7d505b5a203350d138ea41,0.46305102,0,0,0
05b14fd01e43ab8a385bcfb53102a270ef2d9375,0.38644522,0,0,0
77868bf772a03d61701bc0d32dfafea63a0382c2,0.30315718,0,0,0
83fcd3e1e220b9f3aacc63aeb4da0a898684dd0b,0.13286851,0,0,0
