project,accuracy,precision,recall,recall0,f1,gmean,mcc,auc
1,0.8959810874704491,0.2608695652173913,0.32727272727272727,0.9355246523388117,0.2903225806451613,0.5533278453157702,0.23673123415732256,0.8505229283990345
2,0.8867924528301887,0.32905982905982906,0.5,0.9179299529534762,0.39690721649484534,0.677469539150461,0.34636355005736397,0.8683511992450832
3,0.9161676646706587,0.6666666666666666,0.4444444444444444,0.9731543624161074,0.5333333333333333,0.6576572435263786,0.5014552283769398,0.7941834451901566
4,0.8235294117647058,0.5365853658536586,0.6666666666666666,0.8613138686131386,0.5945945945945946,0.7577659571015924,0.4881444792836579,0.8438398584383986
5,0.8977777777777778,0.6285714285714286,0.6875,0.9326424870466321,0.6567164179104478,0.8007444722535145,0.597632638612658,0.9313471502590673
6,0.8198198198198198,0.22727272727272727,0.625,0.8349514563106796,0.3333333333333333,0.7223881644892687,0.29837969135884085,0.8276699029126213
7,0.9181141439205955,0.5063291139240507,0.5970149253731343,0.9472259810554804,0.547945205479452,0.752002691744738,0.505324146034805,0.9118211378829802
8,0.9616438356164384,0.375,0.6,0.971830985915493,0.46153846153846156,0.7636089257920547,0.4559415345381315,0.9014084507042254
9,0.7887323943661971,0.45121951219512196,0.5522388059701493,0.84375,0.4966442953020134,0.6826063964960433,0.36764469595149396,0.81643864013267
10,0.9402173913043478,0.7368421052631579,0.45161290322580644,0.9851632047477745,0.56,0.6670175522783355,0.5482329795734103,0.9284004977505503
all,0.8930656934306569,0.4088669950738916,0.5242105263157895,0.9280719280719281,0.45940959409594095,0.6974991568980531,0.40489356531863,0.8789456858930542
